"","penteVitDiam","nbMaxPrim","vitEmissionPrim","angInitMoyVertPrim","intensiteTropisme","propDiamRamif","distRamif","coeffCroissRad","diamMax","angLat","maxLatAge","duree"
"1",37.219,1,2.439,0.909,0.01013,0.425,2.597,0.317,1.628,1.543,13.849,11
"2",14.37,1,3.318,1.497,0.02329,0.376,5.094,0.348,1.618,1.094,2.726,16
"3",49.629,1,2.277,1.562,0.01179,0.802,1.14,0.006,1.048,0.861,24.175,8
"4",39.62,1,2.961,0.827,0.02092,0.728,1.832,0.433,0.939,0.806,4.527,10
"5",17.334,1,4.132,1.095,0.00331,0.749,5.645,0.051,1.211,1.559,4.504,19
"6",23.807,1,1.245,1.319,0.02761,0.535,1.435,0.266,0.618,1.602,4.263,11
"7",27.156,1,1.525,0.812,0.02819,0.373,3.563,0.104,0.279,1.672,11.678,11
"8",15.063,1,2.513,1.226,0.00466,0.618,2.803,0.167,0.314,1.507,10.841,20
"9",21.949,1,1.597,1.582,0.00383,0.56,1.525,0.469,1.524,1.339,1.618,11
"10",18.642,1,0.521,0.821,0.01644,0.603,2.427,0.343,1.366,1.314,23.49,11
"11",34.354,1,2.38,1.05,0.0071,0.245,5.362,0.261,1.084,0.848,12.773,20
"12",43.716,1,1.808,1.446,0.01713,0.316,5.049,0.376,0.101,0.876,12.423,17
"13",49.934,1,2.492,0.995,0.01709,0.411,4.665,0.436,0.396,1.332,11.029,8
"14",42.347,1,0.927,0.98,0.01909,0.884,1.693,0.227,1.25,1.028,20.499,7
"15",12.259,1,0.179,0.804,0.00797,0.344,4.07,0.322,0.172,0.893,13.82,9
"16",40.028,1,0.671,0.869,0.03343,0.768,2.322,0.268,0.555,1.406,10.961,12
"17",13.298,1,4.87,1.585,0.00816,0.762,1.436,0.176,0.426,0.882,1.102,9
"18",18.565,1,1.298,1.428,0.02944,0.587,2.964,0.109,0.368,0.931,10.824,18
"19",40.355,1,2.881,1.427,0.00379,0.866,2.595,0.497,0.881,1.134,2.953,10
"20",10.676,1,1.814,1.514,0.02868,0.521,1.769,0.015,1.568,1.675,3.861,18
"21",46.957,1,2.94,1.269,0.01228,0.63,2.952,0.467,1.365,1.219,13.87,8
"22",26.599,1,1.369,1.046,0.01155,0.415,4.03,0.322,1.463,1.619,13.531,9
"23",29.539,1,3.664,1.088,0.01358,0.225,4.519,0.303,0.379,1.528,5.099,12
"24",40.444,1,0.323,1.09,0.00716,0.822,2.431,0.388,0.711,1.65,20.958,10
"25",42.664,1,1.623,1.409,0.00032,0.297,1.442,0.085,0.56,1.694,5.599,10
"26",25.819,1,1.302,1.297,0.00583,0.346,3.368,0.078,1.199,1.442,9.682,8
"27",23.719,1,1.362,1.028,0.00643,0.852,5.854,0.377,1.498,1.292,14.451,14
"28",27.514,1,0.44,0.839,0.01014,0.257,1.418,0.438,0.365,1.524,21.354,13
"29",40.242,1,1.935,1.08,0.03215,0.846,4.374,0.198,1.533,1.336,15.583,10
"30",37.151,1,1.833,1.4,0.02297,0.868,4.714,0.066,0.625,1.353,17.198,20
"31",10.314,1,1.361,1.476,0.02988,0.616,2.671,0.026,1.024,1.404,3.465,13
"32",32.798,1,4.965,0.927,0.03123,0.261,3.126,0.305,1.019,1.046,12.035,8
"33",30.146,1,1.586,0.839,0.01844,0.671,2.895,0.215,0.882,1.668,17.595,19
"34",40.619,1,1.832,1.351,0.00419,0.823,4.537,0.321,1.497,1.006,6.676,18
"35",27.757,1,3.131,1.089,0.02239,0.251,2.961,0.236,1.536,1.012,22.823,15
"36",17.937,1,0.956,1.316,0.02195,0.625,4.749,0.298,0.144,1.083,11.895,15
"37",32.675,1,2.187,1.018,0.02507,0.362,3.096,0.21,0.635,1.521,3.985,7
