"","penteVitDiam","nbMaxPrim","vitEmissionPrim","angInitMoyVertPrim","intensiteTropisme","propDiamRamif","distRamif","coeffCroissRad","diamMax","angLat","maxLatAge","duree"
"1",26.299,14,4.015,1.258,0.03067,0.572,2.846,0,0.704,1.158,10.263,9
"2",27.425,35,2.94,1.215,0.02324,0.71,1.746,0,1.113,0.905,20.495,11
"3",39.701,31,2.18,0.844,0.02063,0.498,5.682,0,1.136,0.914,4.718,18
"4",31.106,22,1.656,1.107,0.01695,0.801,4.867,0,1.237,1.688,11.409,11
"5",45.371,38,2.097,1.107,0.03119,0.314,5.272,0,1.678,1.619,10.98,16
"6",44.745,21,1.062,1.044,0.02071,0.799,2.532,0,1.279,1.471,23.013,15
"7",29.173,37,4.643,1.42,0.02788,0.708,1.144,0,0.352,1.362,7.352,19
"8",44.219,65,3.436,1.583,0.00524,0.715,2.858,0,1.389,1.143,18.694,9
"9",33.076,67,4.307,1.692,0.0257,0.394,1.585,0,0.477,1.417,20.529,7
"10",12.37,46,3.391,1.587,0.03153,0.704,5.286,0,1.206,1.342,21.122,11
"11",42.611,21,2.514,1.05,0.01006,0.77,3.602,0,0.139,1.044,24.857,14
"12",10.451,38,4.952,1.25,0.02886,0.742,5.892,0,0.865,0.871,22.814,7
"13",38.36,55,2.882,0.899,0.0309,0.451,2.859,0,0.464,1.559,12.692,16
"14",27.367,25,3.661,1.057,0.01951,0.337,5.849,0,0.991,1.269,6.746,8
"15",35.036,62,1.734,1.553,0.0259,0.802,5.748,0,0.797,1.377,19.121,10
"16",21.876,49,0.556,0.95,0.01348,0.655,4.933,0,0.107,1.246,15.755,14
"17",22.039,26,0.2,0.967,0.02191,0.323,5.348,0,1.227,1.666,2.704,6
"18",30.746,13,0.56,1.656,0.03153,0.407,3.846,0,0.513,1.534,20.434,10
"19",22.008,18,0.442,1.088,0.02265,0.634,1.202,0,1.546,1.066,21.544,19
"20",31.221,25,2.243,1.327,0.00471,0.271,2.206,0,0.373,1.513,13.92,6
"21",10.265,29,2.397,1.312,0.00046,0.775,1.196,0,0.717,1.475,6.551,17
