"","penteVitDiam","nbMaxPrim","vitEmissionPrim","angInitMoyVertPrim","intensiteTropisme","propDiamRamif","distRamif","coeffCroissRad","diamMax","angLat","maxLatAge","duree"
"1",42.529,19,4.055,0.885,0.01412,0.889,2.834,0,0.162,0.941,19.922,19
"2",43.922,38,3.173,0.994,0.02499,0.391,1.829,0,0.588,1.422,12.189,12
"3",13.905,43,4.462,1.539,0.00339,0.456,3.679,0,1.446,1.224,4.866,15
"4",21.371,41,4.817,1.66,0.01126,0.655,3.889,0,1.08,1.381,24.233,6
"5",26.349,54,4.601,0.912,0.0107,0.335,5.914,0,0.675,1.04,21.779,8
"6",47.183,22,2.378,1.077,0.02234,0.642,3.919,0,1.116,1.664,21.154,8
"7",35.6,45,1.42,1.389,0.01694,0.403,2.764,0,0.716,1.613,22.926,13
"8",17.765,29,0.98,1.107,0.032,0.25,4.517,0,1.364,0.859,9.94,9
"9",19.413,54,0.628,1.417,0.02941,0.653,4.79,0,1.235,1.186,1.256,12
"10",36.624,48,0.686,0.918,0.01744,0.578,3.414,0,1.482,1.282,19.593,8
"11",27.683,19,1.572,1.611,0.00355,0.674,1.801,0,0.307,0.913,14.171,20
"12",46.381,20,2.078,1.113,0.03265,0.46,4.367,0,1.645,1.669,5.497,17
"13",14.617,60,4.962,0.852,0.01975,0.737,1.04,0,1.255,0.952,4.346,8
"14",46.278,59,1.121,1.025,0.03094,0.347,5.221,0,1.031,1.36,7.595,11
"15",21.584,44,3.942,1.57,0.00669,0.741,2.878,0,0.67,1.408,23.446,8
"16",14.506,52,2.128,0.855,0.01244,0.281,3.277,0,1.09,1.066,21.957,8
"17",45.278,42,4.779,1.29,0.02781,0.404,5.42,0,1.505,0.943,8.968,12
"18",40.54,59,3.365,1.622,0.02721,0.497,3.252,0,1.203,1.162,23.053,14
"19",24.268,55,3.241,1.477,0.02728,0.789,1.378,0,0.725,1.529,14.327,14
"20",49.124,58,0.107,1.627,0.01882,0.768,2.488,0,1.457,1.16,20.671,17
"21",29.033,36,2.289,1.333,0.00045,0.893,1.157,0,1.445,1.174,6.106,15
"22",24.519,11,1.649,1.687,0.01205,0.744,2.371,0,1.197,0.805,22.84,13
"23",21.317,43,3.384,1.022,0.0315,0.263,1.51,0,0.638,1.137,14.73,13
"24",28.907,12,3.086,1.031,0.02325,0.466,4.903,0,1.197,1.305,14.956,12
"25",28.16,28,0.547,1.004,0.02988,0.829,1.393,0,1.162,1.55,22.486,5
"26",38.868,63,4.068,1.341,0.01875,0.451,2.9,0,1.596,1.227,15.041,14
"27",21.516,68,1.308,1.492,0.02802,0.235,3.013,0,1.61,1.632,17.989,11
"28",29.458,52,4.224,0.82,0.00938,0.393,2.302,0,0.319,1.68,5.532,16
"29",12.707,31,0.165,1.12,0.0346,0.649,4.448,0,0.315,1.396,24.568,12
"30",39.907,29,0.856,1.233,0.02631,0.614,3.894,0,0.376,1.432,15.989,11
"31",38.616,26,3.66,0.968,0.02106,0.686,2.695,0,0.958,0.922,14.373,14
"32",46.285,38,0.638,1.238,0.02309,0.323,5.235,0,1.468,1.556,3.721,19
"33",30.04,63,1.404,1.626,0.02959,0.639,5.193,0,1.381,1.325,23.36,7
"34",39.979,48,4.173,1.56,0.01765,0.314,3.526,0,1.458,0.954,1.856,14
"35",38.255,49,1.243,1.522,0.02785,0.619,4.489,0,0.345,1.272,16.075,10
"36",24.455,61,3.322,1.189,0.02731,0.754,5.941,0,0.779,0.906,24.891,9
"37",47.226,22,4.41,1.095,0.00815,0.374,1.883,0,0.987,1.604,11.142,20
"38",15.56,42,2.666,1.065,0.02286,0.668,5.556,0,0.532,1.694,17.228,10
"39",15.379,51,2.822,1.448,0.01113,0.394,5.13,0,0.775,1.219,6.653,11
"40",28.231,50,0.555,0.802,0.00229,0.773,5.232,0,1.465,1.65,19.057,16
"41",17.088,67,1.357,0.884,0.03371,0.578,4.608,0,0.162,1.016,6.942,12
"42",12.126,28,2.103,1.027,0.03437,0.76,4.637,0,0.208,1.255,15.929,15
"43",12.619,62,3.876,1.034,0.01829,0.33,3.954,0,1.074,1.7,23.065,14
"44",48.655,31,1.157,1.67,0.00244,0.494,4.419,0,0.769,1.119,18.645,9
"45",12.145,51,4.152,1.014,0.00077,0.835,4.475,0,1.4,1.46,13.284,14
"46",16.031,30,2.831,1.512,0.00183,0.741,1.786,0,0.495,1.02,24.955,6
"47",37.016,43,3.68,1.28,0.01005,0.415,1.434,0,1.639,0.985,21.673,8
"48",10.847,20,3.442,1.057,0.01639,0.209,5.768,0,1.362,0.954,12.511,15
"49",45.015,10,0.382,1.153,0.02624,0.257,4.155,0,1.492,1.063,13.093,13
"50",10.997,20,2.223,1.649,0.02522,0.58,3.296,0,1.351,1.226,7.998,6
"51",28.169,33,3.939,1.248,0.01366,0.876,1.465,0,0.286,1.4,12.37,20
"52",23.647,50,2.441,1.643,0.00269,0.482,5.271,0,1.36,1.461,19.2,5
"53",45.488,30,3.925,1.522,0.00209,0.707,3.345,0,0.268,0.997,23.375,15
"54",40.069,69,4.731,1.441,0.01733,0.38,4.079,0,1.079,1.002,16.631,13
"55",19.751,24,2.559,1.419,0.00847,0.25,2.975,0,0.666,1.338,6.264,8
"56",15.302,17,0.751,1.198,0.01306,0.509,5.033,0,0.703,0.929,3.03,12
"57",35.481,21,3.398,1.185,0.02779,0.256,4.777,0,0.605,0.826,23.169,17
"58",38.265,68,2.285,1.075,0.00018,0.594,5.909,0,0.954,1.138,15.974,10
"59",30.002,61,4.443,0.922,0.02979,0.317,3.534,0,0.119,1.447,18.872,17
"60",24.141,33,3.588,1.265,0.00792,0.467,3.773,0,1.14,1.173,2.588,19
"61",34.624,52,1.725,1.111,0.02148,0.692,5.582,0,1.349,0.903,16.029,16
"62",13.544,24,1.812,1.364,0.0308,0.693,5.199,0,1.635,1.356,21.119,8
"63",12.709,52,2.531,0.975,0.01991,0.427,5.53,0,0.289,0.898,11.938,12
"64",49.802,19,1.577,1.024,0.03161,0.667,1.05,0,0.901,1.348,17.257,15
"65",23.46,67,1.664,1.445,0.00386,0.679,5.818,0,0.452,1.476,16.064,18
"66",26.67,38,1.106,0.97,0.02563,0.304,1.401,0,0.368,1.001,9.425,13
"67",24.828,11,2.67,1.484,0.01476,0.41,5.092,0,1.499,1.298,19.17,8
"68",45.595,32,1.091,0.95,0.03157,0.686,2.637,0,0.421,1.187,20.736,12
"69",43.646,35,1.105,1.467,0.02785,0.559,3.866,0,0.703,1.394,23.5,6
"70",23.494,24,0.783,1.396,0.0294,0.768,3.516,0,0.526,1.083,4.752,12
"71",18.954,22,4.88,1.066,0.01469,0.695,1.5,0,1.126,1.08,6.046,15
"72",22.477,35,0.305,1.224,0.00927,0.436,4.548,0,1.514,1.145,7.902,12
"73",47.36,41,0.759,1.506,0.01357,0.823,2.091,0,1.689,1.68,4.338,15
"74",30.402,18,1.957,1.24,0.01456,0.407,4.488,0,1.209,1.257,11.278,14
"75",46.842,24,1.486,1.097,0.01642,0.8,1.851,0,0.416,1.256,18.869,7
"76",25.036,32,3.557,0.879,0.00812,0.781,2.765,0,1.343,1.426,18.205,19
"77",36.987,40,2.559,1.237,0.00233,0.575,2.414,0,0.798,1.201,1.107,12
"78",29.903,36,0.227,1.659,0.00362,0.226,5.696,0,0.753,1.466,16.091,16
"79",42.076,28,3.615,1.191,0.00637,0.851,3.012,0,1.189,0.805,17.154,17
"80",43.976,60,4.573,1.439,0.00933,0.226,1.373,0,0.394,0.934,24.706,6
"81",34.206,67,3.957,1.272,0.03273,0.427,2.489,0,1.104,1.311,1.648,13
"82",46.629,15,1.551,1.41,0.02605,0.777,4.303,0,0.107,1.587,5.178,15
"83",14.006,52,4.977,1.241,0.00822,0.603,4.412,0,0.817,1.456,4.319,10
"84",29.777,61,3.094,1.605,0.02007,0.629,2.156,0,0.382,1.467,13.481,19
"85",15.954,56,4.141,0.876,0.02894,0.662,2.36,0,1.089,1.218,1.644,8
"86",14.589,26,3.338,1.418,0.01531,0.271,5.939,0,0.623,1.225,12.6,17
"87",25.291,63,3.577,1.068,0.02797,0.819,5.561,0,1.337,0.86,17.122,5
"88",26.911,29,0.697,1.023,0.02612,0.692,1.847,0,0.51,0.872,19.021,18
"89",22.007,21,1.648,0.931,0.0019,0.804,2.552,0,1.529,1.192,3.693,19
"90",24.425,68,2.952,1.296,0.00336,0.888,2.505,0,1.521,1.093,3.284,18
"91",21.373,35,3.281,1.153,0.02224,0.611,4.617,0,0.642,1.145,22.422,9
"92",21.169,29,0.873,0.97,0.01741,0.612,1.521,0,0.644,1.51,24.045,14
"93",39.058,10,3.339,1.259,0.00097,0.369,5.193,0,1.166,1.259,23.456,18
"94",29.242,63,2.713,1.191,0.02668,0.735,3.687,0,0.26,1.636,12.897,15
"95",25.768,64,2.853,1.247,0.03393,0.757,1.037,0,1.003,1.271,14.53,15
"96",29.155,26,4.823,0.98,0.00689,0.761,4.329,0,1.504,1.11,9.469,5
"97",23.852,40,0.932,1.571,0.00985,0.68,2.014,0,1.415,0.909,22.916,10
"98",27.991,61,1.109,0.831,0.00032,0.875,2.309,0,1.546,1.042,12.779,8
"99",16.376,45,0.416,1.085,0.00288,0.276,4.831,0,1.03,1.095,5.645,7
"100",45.703,45,2.961,1.192,0.00387,0.852,2.743,0,1.372,1.294,17.801,12
"101",40.168,49,1.235,1.211,0.03495,0.849,1.424,0,0.41,0.997,10.586,20
"102",35.409,37,2.595,1.096,0.03296,0.754,1.608,0,1.387,1.173,1.938,18
"103",49.176,48,1.972,1.091,0.03284,0.626,1.192,0,1.498,1.442,13.641,12
"104",42.88,56,4.362,1.005,0.03421,0.48,4.506,0,0.253,1.599,15.131,8
"105",33.926,39,2.352,1.334,0.01341,0.526,3.798,0,1.227,1.625,20.232,17
