"","penteVitDiam","nbMaxPrim","vitEmissionPrim","angInitMoyVertPrim","intensiteTropisme","propDiamRamif","distRamif","coeffCroissRad","diamMax","angLat","maxLatAge","duree"
"1",15.745,1,4.954,1.296,0.01605,0.662,4.137,0.27,0.898,1.208,10.052,14
"2",40.585,1,3.618,1.482,0.0204,0.448,4.636,0.46,1.33,1.654,15.027,7
"3",11.583,1,0.172,1.437,0.01076,0.852,4.844,0.375,0.918,0.966,17.007,8
"4",12.137,1,3.061,1.692,0.03232,0.741,2.496,0.409,0.485,1.441,6.125,18
"5",42.467,1,2.715,1.38,0.01708,0.72,1.68,0.365,1.205,1.575,23.9,5
"6",43.494,1,3.724,1.688,0.0121,0.554,4.384,0.462,0.532,0.809,2.89,11
"7",43.544,1,1.016,0.867,0.0168,0.881,2.498,0.374,0.816,1.156,7.816,6
"8",44.578,1,2.395,1.161,0.01197,0.451,2.937,0.055,0.385,0.932,18.758,17
"9",48.206,1,1.157,0.903,0.01269,0.406,2.429,0.273,0.63,1.664,24.847,9
"10",48.288,1,0.906,1.384,0.03154,0.862,5.355,0.329,0.748,1.481,17.533,14
"11",42.986,1,3.514,1.151,0.02405,0.884,3.443,0.147,1.206,1.505,16.876,6
"12",46.924,1,1.168,0.852,0.02204,0.551,1.058,0.066,1.563,1.473,4.726,17
"13",15.908,1,4.477,1.244,0.01873,0.616,5.534,0.016,1.094,1.129,23.329,17
"14",18.752,1,3.403,1.065,0.00857,0.823,5.408,0.205,1.27,0.81,6.835,16
"15",40.476,1,2.236,1.401,0.01888,0.487,5.322,0.334,0.77,1.116,6.051,13
"16",25.922,1,4.884,1.054,0.01412,0.608,4.948,0.151,0.177,1.315,7.13,6
"17",41.477,1,0.177,1.219,0.03453,0.727,2.913,0.243,1.506,1.02,7.039,11
"18",16.925,1,4.324,1.077,0.00776,0.307,2.48,0.038,0.927,1.669,23.519,17
"19",16.563,1,2.614,1.673,0.00371,0.513,3.74,0.072,0.968,1.689,1.362,15
"20",20.149,1,2.317,1.154,0.02962,0.352,2.646,0.216,0.545,0.84,19.633,10
"21",46.024,1,1.896,1.426,0.02615,0.891,5.039,0.115,0.688,1.682,2.6,18
"22",46.199,1,1.96,1.501,0.01181,0.451,1.567,0.417,1.509,1.672,7.796,20
"23",10.119,1,2.32,1.247,0.01237,0.582,2.562,0.104,1.421,1.014,17.337,9
"24",29.288,1,2.593,1.464,0.01096,0.771,4.412,0.308,0.62,1.677,19.631,15
"25",26.733,1,3.678,0.882,0.02553,0.725,1.101,0.333,0.41,0.984,12.726,18
"26",30.171,1,1.537,1.538,0.02565,0.312,1.506,0.36,1.277,1.045,5.091,17
"27",47.164,1,2.602,1.015,0.01202,0.213,1.491,0.137,0.972,1.007,19.036,17
"28",28.101,1,3.564,1.354,0.03265,0.238,4.589,0.325,1.594,1.137,20.102,8
"29",41.743,1,2.04,0.919,0.00417,0.343,4.13,0.398,0.101,0.833,4.621,11
"30",17.916,1,2.944,1.694,0.02754,0.582,2.242,0.308,1.029,1.083,16.783,20
"31",34.689,1,4.828,0.869,0.01657,0.894,1.283,0.335,1.547,0.961,14.695,19
"32",17.12,1,1.832,0.851,0.00108,0.861,2.491,0.409,0.374,1.133,11.191,12
"33",31.401,1,1.609,1.68,0.0213,0.534,1.497,0.464,0.241,1.187,22.298,12
"34",14.62,1,1.056,1.536,0.00974,0.398,3.974,0.186,1.162,1.277,9.581,20
"35",12.179,1,4.122,1.284,0.01523,0.276,2.251,0.254,1.181,1.111,7.43,7
"36",28.382,1,2.808,1.545,0.02423,0.253,5.01,0.194,0.567,1.243,20.083,7
"37",43.98,1,4.105,1.245,0.01817,0.677,5.656,0.145,1.088,0.839,16.549,6
"38",37.472,1,3.601,1.254,0.02656,0.862,3.956,0.293,0.416,1.406,7.632,7
"39",49.2,1,2.92,0.812,0.00497,0.81,1.698,0.354,0.107,0.999,21.067,20
"40",22.003,1,0.586,1.543,0.01016,0.423,2.325,0.49,0.653,1.155,14.232,6
"41",47.181,1,3.173,0.806,0.03088,0.652,4.154,0.071,1.288,1.246,20.465,5
"42",35.55,1,3.467,1.517,0.0252,0.397,1.463,0.036,0.303,0.849,24.59,16
"43",25.278,1,2.847,1.243,0.01641,0.803,3.481,0.494,0.452,1.264,21.211,15
"44",29.717,1,3.142,1.162,0.00007,0.74,4.392,0.069,1.048,1.602,21.87,19
"45",13.184,1,0.491,1.028,0.02023,0.41,5.856,0.097,0.588,0.937,20.899,15
"46",24.123,1,3.146,0.985,0.01255,0.432,1.415,0.499,0.271,1.415,1.277,7
"47",22.041,1,4.262,1.476,0.02698,0.855,2.438,0.498,0.58,1.246,19.628,18
"48",30.588,1,2.664,1.027,0.02312,0.386,3.837,0.139,1.156,1.236,17.378,14
"49",26.629,1,3.584,1.055,0.0063,0.787,3.318,0.277,1.586,1.021,9.881,5
"50",44.216,1,3.348,1.286,0.00452,0.499,1.354,0.335,1.652,1.293,4.622,6
"51",15.344,1,2.911,0.935,0.03282,0.884,1.488,0.252,0.263,1.629,13.605,6
"52",45.781,1,4.645,0.976,0.01535,0.315,5.58,0.137,0.649,1.213,24.862,10
"53",17.116,1,0.781,1.36,0.00132,0.874,5.514,0.001,0.557,1.48,18.977,12
"54",30.521,1,1.706,0.876,0.00911,0.425,4.617,0.164,0.179,1.594,16.401,13
"55",37.038,1,4.479,1.304,0.00221,0.627,1.938,0.087,0.269,1.137,23.677,14
"56",20.764,1,4.941,1.173,0.03346,0.808,3.95,0.082,0.963,0.979,2.497,16
"57",17.563,1,4.314,1.419,0.00917,0.489,1.678,0.127,0.324,0.873,9.938,14
"58",38.456,1,2.908,0.915,0.02,0.665,2.305,0.324,0.336,1.569,22.731,8
"59",27.899,1,1.783,0.934,0.02796,0.871,1.901,0.121,1.197,0.849,21.098,10
"60",41.27,1,4.506,1.329,0.00794,0.74,4.389,0.076,1.642,1.377,18.702,19
"61",20.039,1,4.584,1.377,0.03296,0.639,5.887,0.226,1.178,0.838,8.895,8
"62",41.141,1,3.028,1.659,0.01234,0.453,2.233,0.401,0.395,1.585,15.81,18
"63",49.507,1,0.236,0.878,0.00941,0.636,4.102,0.246,1.455,1.278,13.308,8
"64",27.124,1,2.568,1.201,0.0312,0.544,1.661,0.23,1.39,1.146,19.3,13
"65",43.949,1,3.145,1.463,0.03061,0.336,1.099,0.415,1.036,1.549,5.489,8
"66",29.916,1,2.94,1.033,0.01381,0.651,4.244,0.312,0.941,1.201,13.959,12
"67",10.399,1,1.151,1.114,0.00936,0.377,3.036,0.441,0.455,1.545,13.41,14
"68",14.388,1,4.571,1.395,0.01817,0.254,4.147,0.331,1.386,1.502,21.451,16
"69",46.484,1,4.156,0.87,0.01562,0.809,3.988,0.05,0.616,1.473,14.882,8
"70",44.855,1,3.155,1.015,0.02976,0.685,3.599,0.373,0.426,1.66,13.736,14
"71",41.561,1,2.579,0.826,0.018,0.414,3.13,0.126,1.473,1.329,24.421,9
"72",33.313,1,2.897,1.356,0.02756,0.4,1.888,0.064,1.185,1.012,9.067,18
"73",19.38,1,3.26,0.856,0.0172,0.259,4.719,0.234,0.947,1.173,19.558,7
"74",22.892,1,3.169,1.429,0.02639,0.629,5.121,0.067,0.844,1.437,23.611,9
"75",28.676,1,0.237,1.584,0.02309,0.896,4.129,0.499,0.784,1.258,19.865,18
"76",45.345,1,3.192,1.451,0.00623,0.274,5.468,0.201,0.455,1.466,24.089,9
"77",45.33,1,0.54,0.806,0.0048,0.754,3.695,0.134,1.685,1.039,7.76,18
"78",35.916,1,2.517,1.523,0.00688,0.383,3.496,0.457,1.16,1.238,13.533,15
"79",31.594,1,2.485,0.859,0.00639,0.461,4.412,0.23,1.279,1.35,3.449,13
"80",29.839,1,0.909,0.966,0.0087,0.579,4.373,0.277,1.617,0.873,1.632,18
"81",29.28,1,0.778,1.476,0.01199,0.887,1.758,0.34,1.313,0.865,7.34,8
"82",28.375,1,2.245,0.916,0.02221,0.562,3.607,0.073,0.446,0.88,17.716,9
"83",18.236,1,0.836,1.631,0.02843,0.359,4.343,0.315,0.553,0.829,20.327,17
"84",38.634,1,1.458,0.888,0.01668,0.785,4.771,0.266,1.209,1.321,20.541,14
"85",37.26,1,3.535,1.329,0.02371,0.44,2.265,0.354,0.711,1.402,4.851,16
"86",46.039,1,0.839,1.203,0.00958,0.787,4.634,0.152,0.919,1.362,22.344,15
"87",16.828,1,0.377,1.547,0.00743,0.636,4.804,0.383,1.189,1.145,14.217,8
"88",26.762,1,3.629,1.646,0.02578,0.359,4.143,0.274,1.024,1.06,16.02,11
"89",29.293,1,3.656,1.298,0.02123,0.648,2.489,0.043,1.025,0.953,10.26,12
"90",35.607,1,0.664,1.06,0.02196,0.323,5.473,0.115,0.759,0.823,1.124,12
"91",47.933,1,4.76,1.354,0.02422,0.444,5.58,0.4,0.697,1.698,4.974,6
"92",49.628,1,4.545,1.097,0.00687,0.588,2.43,0.068,1,0.848,5.761,5
"93",17.233,1,2.085,1.443,0.00041,0.884,4.759,0.161,1.694,1.419,22.431,10
"94",16.773,1,2.383,1.402,0.012,0.726,3.343,0.184,0.716,0.983,3.153,18
"95",23.737,1,2.53,1.178,0.03379,0.753,1.712,0.217,1.12,1.03,21.017,11
"96",24.265,1,1.477,1.615,0.01342,0.827,3.122,0.452,0.148,1.559,12.634,17
"97",34.525,1,0.88,1.003,0.01256,0.257,5.436,0.062,1.689,1.614,14.452,11
"98",37.721,1,2.637,1.458,0.02417,0.539,5.337,0.061,1.114,1.057,6.768,5
"99",26.782,1,4.542,1.458,0.0332,0.533,5.269,0.47,1.194,1.321,4.133,17
"100",29.868,1,0.571,0.974,0.0139,0.387,5.153,0.051,0.846,1.578,13.498,13
